CD_UF,NM_UF,SG_UF,CD_MUNIC,NM_MUNIC,IDCQ0001,OCORRENCIA,CD_LQ,PREFIXO,NM_CQ,CD_AGLOM,NM_AGLOM,CD_TQ,NM_TQ,P_FCP,lat,long,,,,,,,,,,
22,PIAUÍ,PI,2208205,Pio IX,542,1,2208205005421,COMUNIDADE QUILOMBOLA,BAIXA DO POÇO 2,24,COMUNIDADE QUILOMBOLA BAIXA DO POÇO 2,,,,-6.7090672919843,-40.9423698889908,,,,,,,,,,
24,RIO GRANDE DO NORTE,RN,2412559,São Miguel do Gostoso,543,1,2412559005431,COMUNIDADE QUILOMBOLA,BAIXA DO QUINQUIM,,,,,,-5.1247589305,-35.6435756949,,,,,,,,,,
24,RIO GRANDE DO NORTE,RN,2414407,Touros,544,1,2414407005441,COMUNIDADE QUILOMBOLA,BAIXA DO QUINQUIM,24,COMUNIDADE QUILOMBOLA BAIXA DO QUIM-QUIM,,,01420.001720/2010-94,-5.21784831932,-35.6162149969,,,,,,,,,,
29,BAHIA,BA,2906204,Canarana,545,1,2906204005451,COMUNIDADE QUILOMBOLA,BAIXA DO VIGÁRIO,,,,,,-11.7626656527,-41.6846512652,,,,,,,,,,
29,BAHIA,BA,2918100,Jeremoabo,546,1,2918100005461,COMUNIDADE QUILOMBOLA,BAIXA DOS QUELÉS,24,COMUNIDADE QUILOMBOLA QUELÉS,,,,-9.98059166653,-38.4380430381,,,,,,,,,,
29,BAHIA,BA,2933307,Vitória da Conquista,547,1,2933307005471,COMUNIDADE QUILOMBOLA,BAIXA FUNDA,,,,,,-14.8013924721,-40.9893774695,,,,,,,,,,
23,CEARÁ,CE,2311959,Salitre,548,1,2311959005481,COMUNIDADE QUILOMBOLA,BAIXA FUNDA,9,COMUNIDADE QUILOMBOLA BAIXA FUNDA,,,,-7.23232452463202,-40.3716703130467,,,,,,,,,,
29,BAHIA,BA,2917201,Ituaçu,549,1,2917201005491,COMUNIDADE QUILOMBOLA,BAIXA FUNDA,9,COMUNIDADE QUILOMBOLA BAIXA FUNDA,,,,-13.9539225767784,-41.3296550170445,,,,,,,,,,
28,SERGIPE,SE,2806305,Santa Luzia do Itanhy,550,1,2806305005501,COMUNIDADE QUILOMBOLA,BAIXA FUNDA,10,COMUNIDADE QUILOMBOLA LUZINENSES-TABOA DE BAIXO,170,LUZIENSE,,-11.4349922568,-37.4703903975,,,,,,,,,,
29,BAHIA,BA,2917201,Ituaçu,549,2,2917201005492,COMUNIDADE QUILOMBOLA,BAIXA FUNDA,,,,,01420.100143/2018-70,-13.9549231802,-41.330094969,,,,,,,,,,
29,BAHIA,BA,2906006,Campo Formoso,551,1,2906006005511,COMUNIDADE QUILOMBOLA,BAIXA GRANDE,,,,,,-10.0650370277,-40.7360772784,,,,,,,,,,
29,BAHIA,BA,2911600,Governador Mangabeira,552,1,2911600005521,COMUNIDADE QUILOMBOLA,BAIXA GRANDE,,,,,,-12.5921961527,-39.1469098344,,,,,,,,,,
21,MARANHÃO,MA,2111706,São Vicente Ferrer,553,1,2111706005531,COMUNIDADE QUILOMBOLA,BAIXA GRANDE,63,COMUNIDADE QUILOMBOLA BAIXA GRANDE,,,,-2.90789855412658,-45.1854675718157,,,,,,,,,,
21,MARANHÃO,MA,2112456,Turilândia,554,1,2112456005541,COMUNIDADE QUILOMBOLA,BAIXA GRANDE,,,,,,-2.22063505554,-45.30629425,,,,,,,,,,
21,MARANHÃO,MA,2110203,Santa Rita,555,1,2110203005551,COMUNIDADE QUILOMBOLA,BAIXA GRANDE,,,,,,-3.25157180554,-44.3325105278,,,,,,,,,,
21,MARANHÃO,MA,2110500,São Bento,556,1,2110500005561,COMUNIDADE QUILOMBOLA,BAIXA GRANDE,,,,,01420.101081/2017-32,-2.90475234719,-45.1806510836,,,,,,,,,,
21,MARANHÃO,MA,2100204,Alcântara,557,1,2100204005571,COMUNIDADE QUILOMBOLA,BAIXA GRANDE,126,COMUNIDADE QUILOMBOLA BAIXA GRANDE,221,ALCANTARA,01420.001033/2004-21,-2.36915129165,-44.5559570836,,,,,,,,,,
29,BAHIA,BA,2922300,Muritiba,558,1,2922300005581,COMUNIDADE QUILOMBOLA,BAIXA GRANDE,11,AGRUPAMENTO QUILOMBOLA BAIXA GRANDE,,,01420.001897/2016-86,-12.5999252633,-39.1383716297,,,,,,,,,,
26,PERNAMBUCO,PE,2602803,Buíque,559,1,2602803005591,COMUNIDADE QUILOMBOLA,BAIXA GRANDE 2,,,,,,-8.53401608327,-37.1257884178,,,,,,,,,,
29,BAHIA,BA,2922300,Muritiba,560,1,2922300005601,COMUNIDADE QUILOMBOLA,BAIXA PEQUENA,,,,,,-12.6121118887,-39.1542426948,,,,,,,,,,
29,BAHIA,BA,2933307,Vitória da Conquista,561,1,2933307005611,COMUNIDADE QUILOMBOLA,BAIXA SECA,42,COMUNIDADE QUILOMBOLA BAIXA SECA,,,01420.001395/2006-83,-15.2973821386,-41.0735326997,,,,,,,,,,
29,BAHIA,BA,2904050,Bonito,562,1,2904050005621,COMUNIDADE QUILOMBOLA,BAIXA VISTOSA,19,COMUNIDADE QUILOMBOLA BAIXA VISTOSA,,,01420.013969/2011-23,-11.9763321525,-41.4075262723,,,,,,,,,,
29,BAHIA,BA,2908705,Condeúba,563,1,2908705005631,COMUNIDADE QUILOMBOLA,BAIXÃO,,,,,,-14.9512456388,-42.1922149011,,,,,,,,,,
29,BAHIA,BA,2914604,Irecê,564,1,2914604005641,COMUNIDADE QUILOMBOLA,BAIXÃO,,,,,,-11.2933967499,-41.8928782222,,,,,,,,,,
22,PIAUÍ,PI,2201739,Betânia do Piauí,565,1,2201739005651,COMUNIDADE QUILOMBOLA,BAIXÃO,7,COMUNIDADE QUILOMBOLA BAIXÃO,,,01420.002377/2005-38,-8.15759148587,-40.7530906023,,,,,,,,,,
29,BAHIA,BA,2933307,Vitória da Conquista,566,1,2933307005661,COMUNIDADE QUILOMBOLA,BAIXÃO,49,COMUNIDADE QUILOMBOLA BAIXÃO,,,01420.001669/2006-34,-14.8322060547,-40.9339788784,,,,,,,,,,
22,PIAUÍ,PI,2203750,Fartura do Piauí,567,1,2203750005671,COMUNIDADE QUILOMBOLA,BAIXÃO ANGICAL,,,,,,-9.48592670827,-42.7840753049,,,,,,,,,,
22,PIAUÍ,PI,2210607,São Raimundo Nonato,568,1,2210607005681,COMUNIDADE QUILOMBOLA,BAIXÃO BOI,,,231,LAGOAS,,-9.25924394429,-42.7739562478,,,,,,,,,,
22,PIAUÍ,PI,2203750,Fartura do Piauí,569,1,2203750005691,COMUNIDADE QUILOMBOLA,BAIXÃO DA SECAO,,,231,LAGOAS,,-9.44012134716,-42.7052894582,,,,,,,,,,
29,BAHIA,BA,2918100,Jeremoabo,570,1,2918100005701,COMUNIDADE QUILOMBOLA,BAIXÃO DE BAIXO,,,,,,-10.2577333193,-38.4145485578,,,,,,,,,,
29,BAHIA,BA,2918100,Jeremoabo,571,1,2918100005711,COMUNIDADE QUILOMBOLA,BAIXÃO DE CIMA,,,,,,-10.2682938055,-38.4417500705,,,,,,,,,,
29,BAHIA,BA,2925600,Presidente Dutra,572,1,2925600005721,COMUNIDADE QUILOMBOLA,BAIXÃO DE ZÉ PRETO,,,,,,-11.2665650694,-41.9281163894,,,,,,,,,,
29,BAHIA,BA,2914604,Irecê,573,1,2914604005731,COMUNIDADE QUILOMBOLA,BAIXÃO DE ZÉ PRETO,13,COMUNIDADE QUILOMBOLA BAIXÃO DE ZÉ PRETO,,,,-11.2708566109,-41.9187550342,,,,,,,,,,
29,BAHIA,BA,2914604,Irecê,573,2,2914604005732,COMUNIDADE QUILOMBOLA,BAIXÃO DE ZÉ PRETO,,,,,01420.004357/2017-35,-11.2969384722,-41.8637898611,,,,,,,,,,
29,BAHIA,BA,2918100,Jeremoabo,574,1,2918100005741,COMUNIDADE QUILOMBOLA,BAIXÃO DO FÉLIX,,,,,,-10.264799111,-38.429864614,,,,,,,,,,
22,PIAUÍ,PI,2211357,Várzea Branca,575,1,2211357005751,COMUNIDADE QUILOMBOLA,BAIXÃO DO FLORÊNCIO,22,COMUNIDADE QUILOMBOLA BAIXÃO DO FLORENCIO,231,LAGOAS,,-9.36442926383,-42.8538637216,,,,,,,,,,
29,BAHIA,BA,2920601,Maragogipe,576,1,2920601005761,COMUNIDADE QUILOMBOLA,BAIXÃO DO GUAÍ,23,AGRUPAMENTO QUILOMBOLA SÃO ROQUE DO PARAGUAÇU,,,01420.001069/2010-52,-12.8577492777,-38.8489862247,,,,,,,,,,
29,BAHIA,BA,2902658,Banzaê,577,1,2902658005771,COMUNIDADE QUILOMBOLA,BAIXÃO DOS NEGO,,,,,,-10.5907714305,-38.5627970569,,,,,,,,,,
29,BAHIA,BA,2902658,Banzaê,578,1,2902658005781,COMUNIDADE QUILOMBOLA,BAIXÃO II,6,COMUNIDADE QUILOMBOLA BAIXÃO II,,,01420.000106/2013-58,-10.5808205971,-38.5661841351,,,,,,,,,,
29,BAHIA,BA,2904001,Boninal,579,1,2904001005791,COMUNIDADE QUILOMBOLA,BAIXÃO VELHO,,,,,,-12.7132510833,-41.8330725556,,,,,,,,,,
29,BAHIA,BA,2929909,Seabra,580,1,2929909005801,COMUNIDADE QUILOMBOLA,BAIXÃO VELHO,14,COMUNIDADE QUILOMBOLA BAIXÃO VELHO,,,01420.001532/2005-07,-12.554824486,-41.9057035378,,,,,,,,,,
29,BAHIA,BA,2929909,Seabra,581,1,2929909005811,COMUNIDADE QUILOMBOLA,BAIXÃOZINHO,15,COMUNIDADE QUILOMBOLA BAIXÃOZINHO,,,,-12.6489747044921,-41.8616975805,,,,,,,,,,
27,ALAGOAS,AL,2705408,Monteirópolis,582,1,2705408005821,COMUNIDADE QUILOMBOLA,BAIXAS,,,,,,-9.61742669437,-37.2754308484,,,,,,,,,,
27,ALAGOAS,AL,2703403,Jacaré dos Homens,583,1,2703403005831,COMUNIDADE QUILOMBOLA,BAIXAS,3,COMUNIDADE QUILOMBOLA BAIXAS,,,01420.007107/2010-81,-9.68947225267618,-37.2063659750223,,,,,,,,,,
29,BAHIA,BA,2906006,Campo Formoso,584,1,2906006005841,COMUNIDADE QUILOMBOLA,BAIXINHA,127,AGRUPAMENTO QUILOMBOLA BAIXINHA,,,,-10.0247365415,-40.7141618513,,,,,,,,,,
29,BAHIA,BA,2931202,Taperoá,585,1,2931202005851,COMUNIDADE QUILOMBOLA,BAIXINHA,,,,,,-13.5407453055,-39.111691166,,,,,,,,,,
29,BAHIA,BA,2914505,Irará,586,1,2914505005861,COMUNIDADE QUILOMBOLA,BAIXINHA,2,COMUNIDADE QUILOMBOLA BAIXINHA,,,01420.000868/2011-92,-12.0981086661,-38.7393730977,,,,,,,,,,
15,PARÁ,PA,1504604,Mocajuba,587,1,1504604005871,COMUNIDADE QUILOMBOLA,BAIXINHA,3,COMUNIDADE QUILOMBOLA BAIXINHA,13,IGARAPÉ PRETO, BAIXINHA, PANPELÔNIA, TEÓFILO,01420.005299/2013-33,-2.66440566663,-49.693270153,,,,,,,
15,PARÁ,PA,1501204,Baião,588,1,1501204005881,COMUNIDADE QUILOMBOLA,BAIXINHA,15,COMUNIDADE QUILOMBOLA BAIXINHA,13,IGARAPÉ PRETO, BAIXINHA, PANPELÔNIA, TEÓFILO,01420.005299/2013-33,-2.67298493045,-49.701972088,,,,,,,
26,PERNAMBUCO,PE,2606507,Iati,589,1,2606507005891,COMUNIDADE QUILOMBOLA,BAIXIO,,,,,,-9.34233708329,-36.9964696667,,,,,,,,,,
51,MATO GROSSO,MT,5101704,Barra do Bugres,590,1,5101704005901,COMUNIDADE QUILOMBOLA,BAIXIO,8,COMUNIDADE QUILOMBOLA BAIXIU,,,01420.001777/2005-26,-15.332521486,-56.9982986387,,,,,,,,,,
15,PARÁ,PA,1502756,Concórdia do Pará,591,1,1502756005911,COMUNIDADE QUILOMBOLA,BAIXO IPANEMA,,,39,ARQUINEC,,-1.71461504165,-47.9667199728,,,,,,,,,,
27,ALAGOAS,AL,2708006,Santana do Ipanema,592,1,2708006005921,COMUNIDADE QUILOMBOLA,BAIXO TAMANDUÁ,5,COMUNIDADE QUILOMBOLA BAIXO DO TAMANDUÁ,,,01420.101548/2020-40,-9.34756386098,-37.2798093609,,,,,,,,,,
31,MINAS GERAIS,MG,3135209,Januária,593,1,3135209005931,COMUNIDADE QUILOMBOLA,BALAEIRO,,,,,01420.009949/2012-39,-15.610557486,-44.4598008077,,,,,,,,,,
26,PERNAMBUCO,PE,2609303,Mirandiba,594,1,2609303005941,COMUNIDADE QUILOMBOLA,BALANÇO,,,,,01420.015351/2011-06,-8.13769584708,-38.8690417923,,,,,,,,,,
52,GOIÁS,GO,5219456,Santa Rita do Novo Destino,595,1,5219456005951,COMUNIDADE QUILOMBOLA,BALBINO DOS SANTOS,4,COMUNIDADE QUILOMBOLA BALBINO DOS SANTOS,,,01420.004623/2014-87,-14.9779034025,-49.0846757917,,,,,,,,,,
27,ALAGOAS,AL,2703304,Inhapi,596,1,2703304005961,COMUNIDADE QUILOMBOLA,BALDE,,,,,01420.100634/2021-16,-9.23397094131066,-37.7541101501757,,,,,,,,,,
15,PARÁ,PA,1501907,Bujaru,597,1,1501907005971,COMUNIDADE QUILOMBOLA,BALIEIRO,,,,,,-1.65784463888,-48.0688010556,,,,,,,,,,
15,PARÁ,PA,1501105,Bagre,598,1,1501105005981,COMUNIDADE QUILOMBOLA,BALIEIRO,4,COMUNIDADE QUILOMBOLA BALIEIRO,,,01420.000002/2011-81,-2.79498747217,-49.9753998731,,,,,,,,,,
29,BAHIA,BA,2904050,Bonito,599,1,2904050005991,COMUNIDADE QUILOMBOLA,BALIZA,20,COMUNIDADE QUILOMBOLA BALIZA,,,01420.011476/2015-82,-11.9498429582,-41.3398186859,,,,,,,,,,
31,MINAS GERAIS,MG,3106507,Berilo,600,1,3106507006001,COMUNIDADE QUILOMBOLA,BANANAL,,,,,,-16.9303575832,-42.4680453373,,,,,,,,,,
21,MARANHÃO,MA,2102507,Cajari,601,1,2102507006011,COMUNIDADE QUILOMBOLA,BANANAL,,,,,,-3.54096913886,-45.1193552924,,,,,,,,,,
29,BAHIA,BA,2919504,Livramento de Nossa Senhora,602,1,2919504006021,COMUNIDADE QUILOMBOLA,BANANAL,,,,,,-13.6411334027,-41.8491100833,,,,,,,,,,
29,BAHIA,BA,2915700,Itamari,603,1,2915700006031,COMUNIDADE QUILOMBOLA,BANANAL,,,,,01420.102282/2018-38,-13.7530974443,-39.6556919438,,,,,,,,,,
29,BAHIA,BA,2926707,Rio de Contas,604,1,2926707006041,COMUNIDADE QUILOMBOLA,BANANAL,6,COMUNIDADE QUILOMBOLA BANANAL,103,BARRA E BANANAL,01420.000054/1998-92,-13.5133963887,-41.8502594875,,,,,,,,,,
29,BAHIA,BA,2926707,Rio de Contas,604,2,2926707006042,COMUNIDADE QUILOMBOLA,BANANAL,,,103,BARRA E BANANAL,01420.000054/1998-92,-13.5082034701,-41.8533879669,,,,,,,,,,
29,BAHIA,BA,2901809,Antônio Gonçalves,605,1,2901809006051,COMUNIDADE QUILOMBOLA,BANANEIRA DE SANTA EFIGÊNIA,,,,,,-10.5719168888,-40.2773584743,,,,,,,,,,
29,BAHIA,BA,2924603,Pindobaçu,606,1,2924603006061,COMUNIDADE QUILOMBOLA,BANANEIRA DE SANTA EFIGÊNIA,12,COMUNIDADE QUILOMBOLA BANANEIRAS DE SANTA EFIGÊNIA,,,01420.001994/2009-40,-10.6060969026,-40.3138985431,,,,,,,,,,
29,BAHIA,BA,2901809,Antônio Gonçalves,607,1,2901809006071,COMUNIDADE QUILOMBOLA,BANANEIRA DOS PRETOS,10,COMUNIDADE QUILOMBOLA BANANEIRA DOS PRETOS,,,01420.001257/2006-02,-10.6049488261,-40.3028242468,,,,,,,,,,
29,BAHIA,BA,2917508,Jacobina,608,1,2917508006081,COMUNIDADE QUILOMBOLA,BANANEIRA DOS PRETOS,,,,,,-11.1847631109,-40.4970988213,,,,,,,,,,
29,BAHIA,BA,2917508,Jacobina,608,2,2917508006082,COMUNIDADE QUILOMBOLA,BANANEIRA DOS PRETOS,,,,,01420.014275/2013-75,-11.1862530832,-40.4984943331,,,,,,,,,,
29,BAHIA,BA,2917508,Jacobina,608,3,2917508006083,COMUNIDADE QUILOMBOLA,BANANEIRA DOS PRETOS,,,,,,-11.1859689027,-40.5031050682,,,,,,,,,,
26,PERNAMBUCO,PE,2602407,Brejão,609,1,2602407006091,COMUNIDADE QUILOMBOLA,BANANEIRAS,10,COMUNIDADE QUILOMBOLA BANANEIRAS,,,,-9.02104897251926,-36.5122835308756,,,,,,,,,,
23,CEARÁ,CE,2300606,Altaneira,610,1,2300606006101,COMUNIDADE QUILOMBOLA,BANANEIRAS,6,SÍTIO BANANEIRAS 3,,,,-6.96796763878,-39.6366050176,,,,,,,,,,
23,CEARÁ,CE,2300606,Altaneira,610,2,2300606006102,COMUNIDADE QUILOMBOLA,BANANEIRAS,3,SÍTIO BANANEIRAS 1,,,,-6.97531331939,-39.6614220979,,,,,,,,,,
26,PERNAMBUCO,PE,2606002,Garanhuns,611,1,2606002006111,COMUNIDADE QUILOMBOLA,BANANEIRAS,29,COMUNIDADE QUILOMBOLA BANANEIRAS,,,,-9.00711909713,-36.3771477508,,,,,,,,,,
29,BAHIA,BA,2927408,Salvador,612,1,2927408006121,COMUNIDADE QUILOMBOLA,BANANEIRAS,,,394,ILHA DE MARÉ,01420.000510/2004-31,-12.7544890553,-38.5194283581,,,,,,,,,,
29,BAHIA,BA,2915007,Itaeté,613,1,2915007006131,COMUNIDADE QUILOMBOLA,BANANEIRAS,4,COMUNIDADE QUILOMBOLA BANANEIRAS,,,01420.007976/2015-10,-13.1892310969,-40.9489768358,,,,,,,,,,
29,BAHIA,BA,2918100,Jeremoabo,614,1,2918100006141,COMUNIDADE QUILOMBOLA,BANANEIRINHA,,,,,01420.103354/2018-64,-10.0977503749,-38.4092955145,,,,,,,,,,
29,BAHIA,BA,2905305,Cafarnaum,615,1,2905305006151,COMUNIDADE QUILOMBOLA,BANDEIRA,11,COMUNIDADE QUILOMBOLA BANDEIRA,,,01420.004893/2015-79,-11.6196962539999,-41.5704665784695,,,,,,,,,,
21,MARANHÃO,MA,2102101,Brejo,616,1,2102101006161,COMUNIDADE QUILOMBOLA,BANDEIRA,,,,,01420.002614/2011-17,-3.69240192465004,-42.7661516269685,,,,,,,,,,
29,BAHIA,BA,2903904,Bom Jesus da Lapa,617,1,2903904006171,COMUNIDADE QUILOMBOLA,BANDEIRA,,,,,01420.000185/1999-41,-13.2479535832,-43.387512389,,,,,,,,,,
15,PARÁ,PA,1503408,Inhangapi,618,1,1503408006181,COMUNIDADE QUILOMBOLA,BANDEIRA BRANCA,,,,,01420.002795/2006-14,-1.49053065276,-47.8441066112,,,,,,,,,,
21,MARANHÃO,MA,2112407,Turiaçu,619,1,2112407006191,COMUNIDADE QUILOMBOLA,BANTA DE CIMA,,,,,,-1.68319450522131,-45.513347572636,,,,,,,,,,
21,MARANHÃO,MA,2100204,Alcântara,620,1,2100204006201,COMUNIDADE QUILOMBOLA,BARAÇÁTATIUA,124,COMUNIDADE QUILOMBOLA BARACATATIUA,221,ALCANTARA,01420.001033/2004-21,-2.23824970832,-44.408643361,,,,,,,,,,
21,MARANHÃO,MA,2102606,Cândido Mendes,621,1,2102606006211,COMUNIDADE QUILOMBOLA,BARÃO DE TROMAI,,,,,,-1.48365041664,-45.6059467082,,,,,,,,,,
29,BAHIA,BA,2922052,Mulungu do Morro,622,1,2922052006221,COMUNIDADE QUILOMBOLA,BARAÚNA,,,,,,-11.9507102499,-41.5730592647,,,,,,,,,,
29,BAHIA,BA,2922052,Mulungu do Morro,623,1,2922052006231,COMUNIDADE QUILOMBOLA,BARAÚNA II,,,,,,-11.9329961387,-41.6745927216,,,,,,,,,,
29,BAHIA,BA,2926707,Rio de Contas,624,1,2926707006241,COMUNIDADE QUILOMBOLA,BARAÚNAS,10,COMUNIDADE QUILOMBOLA BARAÚNAS,,,01420.002459/2006-63,-13.5765334859,-41.6483817864,,,,,,,,,,
29,BAHIA,BA,2917508,Jacobina,625,1,2917508006251,COMUNIDADE QUILOMBOLA,BARAÚNAS DE DENTRO,,,,,01420.014281/2013-22,-11.241789755222,-40.5848190279801,,,,,,,,,,
31,MINAS GERAIS,MG,3135100,Janaúba,626,1,3135100006261,COMUNIDADE QUILOMBOLA,BARBOSA,,,,,,-15.778792111,-43.3231772952,,,,,,,,,,
29,BAHIA,BA,2905800,Camamu,627,1,2905800006271,COMUNIDADE QUILOMBOLA,BARCELOS,,,,,,-14.0476345415,-39.008794017,,,,,,,,,,
29,BAHIA,BA,2926707,Rio de Contas,628,2,2926707006282,COMUNIDADE QUILOMBOLA,BARRA,5,AGRUPAMENTO QUILOMBOLA BARRA,,,,-13.4902135610946,-41.8575249248333,,,,,,,,,,
29,BAHIA,BA,2901809,Antônio Gonçalves,629,1,2901809006291,COMUNIDADE QUILOMBOLA,BARRA,13,COMUNIDADE QUILOMBOLA BARRA,,,,-10.6195593055,-40.2704903328,,,,,,,,,,
29,BAHIA,BA,2921708,Morro do Chapéu,630,1,2921708006301,COMUNIDADE QUILOMBOLA,BARRA,,,,,,-11.5442000416,-41.1648766261,,,,,,,,,,
29,BAHIA,BA,2926707,Rio de Contas,628,1,2926707006281,COMUNIDADE QUILOMBOLA,BARRA,,,103,BARRA E BANANAL,01420.000054/1998-92,-13.4913816468,-41.8604133635,,,,,,,,,,
29,BAHIA,BA,2926707,Rio de Contas,628,3,2926707006283,COMUNIDADE QUILOMBOLA,BARRA,,,,,01420.000054/1998-92,-13.5695705276,-41.8175535179,,,,,,,,,,
29,BAHIA,BA,2923407,Palmas de Monte Alto,631,1,2923407006311,COMUNIDADE QUILOMBOLA,BARRA,,,,,01420.016018/2015-30,-14.2364701206652,-43.1664195068177,,,,,,,,,,
29,BAHIA,BA,2926707,Rio de Contas,632,1,2926707006321,COMUNIDADE QUILOMBOLA,BARRA BANANAL RIACHO DAS PEDRAS,,,,,,-13.5829051386,-41.8072790587,,,,,,,,,,
31,MINAS GERAIS,MG,3102852,Angelândia,633,1,3102852006331,COMUNIDADE QUILOMBOLA,BARRA CAPÃO,7,COMUNIDADE QUILOMBOLA BARRA DO CAPÃO,,,01420.002948/2010-00,-17.6640549859,-42.3384849701,,,,,,,,,,
31,MINAS GERAIS,MG,3106507,Berilo,634,1,3106507006341,COMUNIDADE QUILOMBOLA,BARRA CAPIVARI,,,,,,-16.9501922499,-42.4573980278,,,,,,,,,,
31,MINAS GERAIS,MG,3167103,Serro,635,1,3167103006351,COMUNIDADE QUILOMBOLA,BARRA CEGA,,,,,,-18.4702936803,-43.5219212887,,,,,,,,,,
21,MARANHÃO,MA,2107209,Nina Rodrigues,636,1,2107209006361,COMUNIDADE QUILOMBOLA,BARRA DA BURITIRANA,,,,,,-3.30283799999,-43.8315525001,,,,,,,,,,
22,PIAUÍ,PI,2203453,Dom Inocêncio,637,1,2203453006371,COMUNIDADE QUILOMBOLA,BARRA DAS QUEIMADAS,,,,,01420.015951/2013-28,-9.04182620826,-41.9133042516,,,,,,,,,,
29,BAHIA,BA,2902708,Barra,638,1,2902708006381,COMUNIDADE QUILOMBOLA,BARRA DE AROEIRA,,,491,TORRINHA,,-11.5102905416,-43.3028320685,,,,,,,,,,
29,BAHIA,BA,2900108,Abaíra,639,1,2900108006391,COMUNIDADE QUILOMBOLA,BARRA DE CATOLÉS,,,,,01420.007567/2014-32,-13.3763919569372,-41.6425007843422,,,,,,,,,,
25,PARAÍBA,PB,2505600,Diamante,640,1,2505600006401,COMUNIDADE QUILOMBOLA,BARRA DE OITIS,2,COMUNIDADE QUILOMBOLA BARRA DE OITIS,,,01420.001377/2009-44,-7.39136123605,-38.3052427647,,,,,,,,,,
31,MINAS GERAIS,MG,3135209,Januária,641,1,3135209006411,COMUNIDADE QUILOMBOLA,BARRA DE PINDAIBAL,,,,,01420.102063/2022-35,-15.4932682,-45.1564679,,,,,,,,,,
31,MINAS GERAIS,MG,3156809,Sabinópolis,642,1,3156809006421,COMUNIDADE QUILOMBOLA,BARRA DE SANTO ANTÔNIO,27,COMUNIDADE QUILOMBOLA BARRA SANTO ANTÔNIO,,,,-18.7779941144999,-43.111223458591,,,,,,,,,,
31,MINAS GERAIS,MG,3156809,Sabinópolis,642,2,3156809006422,COMUNIDADE QUILOMBOLA,BARRA DE SANTO ANTÔNIO,,,,,01420.003040/2015-10,-18.7849658469,-43.1263584567,,,,,,,,,,
31,MINAS GERAIS,MG,3156809,Sabinópolis,642,3,3156809006423,COMUNIDADE QUILOMBOLA,BARRA DE SANTO ANTÔNIO,,,,,,-18.7774948055,-43.1239861533,,,,,,,,,,
17,TOCANTINS,TO,1719004,Santa Tereza do Tocantins,643,1,1719004006431,COMUNIDADE QUILOMBOLA,BARRA DO AROEIRA,2,COMUNIDADE QUILOMBOLA BARRA DA AROEIRA,139,BARRA DO AROEIRA,01420.003180/2005-16,-10.2808649164,-47.7128774136,,,,,,,,,,
17,TOCANTINS,TO,1715101,Novo Acordo,644,1,1715101006441,COMUNIDADE QUILOMBOLA,BARRA DO AROEIRA,,,139,BARRA DO AROEIRA,01420.003180/2005-16,-10.1007199722,-47.614324,,,,,,,,,,
17,TOCANTINS,TO,1711951,Lagoa do Tocantins,645,1,1711951006451,COMUNIDADE QUILOMBOLA,BARRA DO AROEIRA,,,,,01420.003180/2005-16,-10.3004544999,-47.5711255001,,,,,,,,,,
17,TOCANTINS,TO,1719004,Santa Tereza do Tocantins,643,2,1719004006432,COMUNIDADE QUILOMBOLA,BARRA DO AROEIRA,,,,,01420.003180/2005-16,-10.2835199857,-47.809753063,,,,,,,,,,
29,BAHIA,BA,2926707,Rio de Contas,646,1,2926707006461,COMUNIDADE QUILOMBOLA,BARRA DO BRUMADO,,,103,BARRA E BANANAL,,-13.4957209583,-41.8632653885,,,,,,,,,,
29,BAHIA,BA,2926707,Rio de Contas,646,2,2926707006462,COMUNIDADE QUILOMBOLA,BARRA DO BRUMADO,15,AGRUPAMENTO QUILOMBOLA BARRA DO BRUMADO,,,,-13.4937293054,-41.88262224,,,,,,,,,,
29,BAHIA,BA,2919504,Livramento de Nossa Senhora,647,1,2919504006471,COMUNIDADE QUILOMBOLA,BARRA DO BRUMADO,,,,,,-13.6555801388,-41.8450145672,,,,,,,,,,
29,BAHIA,BA,2919504,Livramento de Nossa Senhora,647,2,2919504006472,COMUNIDADE QUILOMBOLA,BARRA DO BRUMADO,,,,,,-13.6709274443,-41.8435744699,,,,,,,,,,
21,MARANHÃO,MA,2106409,Mata Roma,648,1,2106409006481,COMUNIDADE QUILOMBOLA,BARRA DO CABURÉ,,,,,,-3.55464527773,-43.2858458056,,,,,,,,,,
26,PERNAMBUCO,PE,2612604,Santa Maria da Boa Vista,649,1,2612604006491,COMUNIDADE QUILOMBOLA,BARRA DO JACARÉ,117,COMUNIDADE QUILOMBOLA BARRA DO JACARÉ,,,,-8.7078222,-39.7031744833341,,,,,,,,,,
31,MINAS GERAIS,MG,3112307,Capelinha,650,1,3112307006501,COMUNIDADE QUILOMBOLA,BARRA DO JARDIM,,,,,,-17.5082546527,-42.5728756643,,,,,,,,,,
29,BAHIA,BA,2907103,Carinhanha,651,1,2907103006511,COMUNIDADE QUILOMBOLA,BARRA DO PARATECA,20,COMUNIDADE QUILOMBOLA BARRA DO PARATECA,198,BARRA DO PARATECA,01420.002790/2005-01,-13.9351225832,-43.6292389598,,,,,,,,,,
